,Artist ID,Artist Name,Artist URI,Song ID,Song Name,Song Popularity,Song URI,Added On
1,2M1fROBYTycpAcvsi2zkPJ,SISTO,spotify:artist:2M1fROBYTycpAcvsi2zkPJ,6jSiLNlPuU6GdBMwBOGFA7,FUSS - VIP,27,spotify:track:6jSiLNlPuU6GdBMwBOGFA7,2023-12-13 T22:55:06Z
2,4Kf9ZowsOBySwBkaUNh2ut,Jiqui,spotify:artist:4Kf9ZowsOBySwBkaUNh2ut,19z94SGI90OToJ64Z3uIau,SONAR,24,spotify:track:19z94SGI90OToJ64Z3uIau,2023-12-13 T22:54:12Z
4,7rGhKsxlC6oLrCZmvh9rX6,HURTBOX,spotify:artist:7rGhKsxlC6oLrCZmvh9rX6,7zFRLqMTECJBwa7UBvfeuL,Freaks,37,spotify:track:7zFRLqMTECJBwa7UBvfeuL,2023-12-13 T22:53:22Z
5,3qnMl4DHT4gndzFAcG4FlM,Kill The Noise,spotify:artist:3qnMl4DHT4gndzFAcG4FlM,1zHCZGl8djSH3gvfAirCWe,Freeway - Flux Pavilion and Kill the Noise Remix,24,spotify:track:1zHCZGl8djSH3gvfAirCWe,2023-12-13 T22:50:28Z
6,74ldOkcio7YXoirKWjlBd0,Izadi,spotify:artist:74ldOkcio7YXoirKWjlBd0,3XY62OpZqv1ERuimZ8wNwP,Cortex Clips,1,spotify:track:3XY62OpZqv1ERuimZ8wNwP,2023-11-30 T20:34:18Z
7,74ldOkcio7YXoirKWjlBd0,Izadi,spotify:artist:74ldOkcio7YXoirKWjlBd0,7epq8h3lOjtAWLbUG3ju6G,Gat Talk,2,spotify:track:7epq8h3lOjtAWLbUG3ju6G,2023-11-30 T20:31:49Z
8,74ldOkcio7YXoirKWjlBd0,Izadi,spotify:artist:74ldOkcio7YXoirKWjlBd0,5U6VoB8dNMBTO4ZV3D2MDO,D.F.W.M.,17,spotify:track:5U6VoB8dNMBTO4ZV3D2MDO,2023-11-30 T20:29:20Z
10,4Kf9ZowsOBySwBkaUNh2ut,Jiqui,spotify:artist:4Kf9ZowsOBySwBkaUNh2ut,1kUvaNXm0zoXI0oVzN8GKb,KING OF TIME,26,spotify:track:1kUvaNXm0zoXI0oVzN8GKb,2023-11-30 T20:04:57Z
11,4Kf9ZowsOBySwBkaUNh2ut,Jiqui,spotify:artist:4Kf9ZowsOBySwBkaUNh2ut,4w5kNpWbuYbsH8NUDaTvXw,SLIME,28,spotify:track:4w5kNpWbuYbsH8NUDaTvXw,2023-11-30 T20:02:13Z
13,5dqKDhDTrjMvSExBmfMNeH,Vastive,spotify:artist:5dqKDhDTrjMvSExBmfMNeH,0wGgpYBoCUFq26aG22mKaO,ANTIHERO,29,spotify:track:0wGgpYBoCUFq26aG22mKaO,2023-11-30 T19:59:31Z
15,4vATWjWf6AYUj0tyKD6sDM,Percival Schuttenbach,spotify:artist:4vATWjWf6AYUj0tyKD6sDM,3slCTwgyRIRjp7a53zqIt0,Another Round For Everyone,0,spotify:track:3slCTwgyRIRjp7a53zqIt0,2023-11-29 T04:50:50Z
17,4vATWjWf6AYUj0tyKD6sDM,Percival Schuttenbach,spotify:artist:4vATWjWf6AYUj0tyKD6sDM,6utAVGpiL1AZJu0TkVkx6U,Back On The Path,0,spotify:track:6utAVGpiL1AZJu0TkVkx6U,2023-11-29 T04:49:45Z
19,4vATWjWf6AYUj0tyKD6sDM,Percival Schuttenbach,spotify:artist:4vATWjWf6AYUj0tyKD6sDM,773n5N7v7ZFhqpIc6vy7Wz,"Drink Up, There's More!",49,spotify:track:773n5N7v7ZFhqpIc6vy7Wz,2023-11-29 T04:49:04Z
20,14ejEUaU0wE2iAenbbv9b8,Sheek Louch,spotify:artist:14ejEUaU0wE2iAenbbv9b8,1iklXRwvHxcPliOWLKODth,Realest In The Game,38,spotify:track:1iklXRwvHxcPliOWLKODth,2023-11-27 T20:19:22Z
21,5pnbUBPifNnlusY8kTBivi,Jadakiss,spotify:artist:5pnbUBPifNnlusY8kTBivi,2rJvc7nSYWBKAuNUMx1Cr2,Don't Like.1,67,spotify:track:2rJvc7nSYWBKAuNUMx1Cr2,2023-11-27 T20:19:21Z
22,6FBDaR13swtiWwGhX1WQsP,blink-182,spotify:artist:6FBDaR13swtiWwGhX1WQsP,2m1hi0nfMR9vdGC8UcrnwU,All The Small Things,84,spotify:track:2m1hi0nfMR9vdGC8UcrnwU,2023-11-27 T20:19:11Z
23,2TYqHBcyFerPMqLBLGL4q1,Kill Frenzy,spotify:artist:2TYqHBcyFerPMqLBLGL4q1,6qHZDTCP5wbqyw3WSduNCR,Big Breasted Beauty - Original Mix,0,spotify:track:6qHZDTCP5wbqyw3WSduNCR,2023-11-27 T20:19:03Z
24,3Uobr6LgQpBbk6k4QGAb3V,I Prevail,spotify:artist:3Uobr6LgQpBbk6k4QGAb3V,7N1t3vT849WXqA4QA1IjoV,Deadweight,55,spotify:track:7N1t3vT849WXqA4QA1IjoV,2023-11-27 T20:18:57Z
25,3Ri4H12KFyu98LMjSoij5V,Bad Omens,spotify:artist:3Ri4H12KFyu98LMjSoij5V,5N2C6aBO8sZUdpS3qGXrtH,Blood,0,spotify:track:5N2C6aBO8sZUdpS3qGXrtH,2023-11-27 T20:18:55Z
26,3Ri4H12KFyu98LMjSoij5V,Bad Omens,spotify:artist:3Ri4H12KFyu98LMjSoij5V,5h8lsxmbPSzGPLS4cVfdiu,Careful What You Wish For,0,spotify:track:5h8lsxmbPSzGPLS4cVfdiu,2023-11-27 T20:18:55Z
27,3Ri4H12KFyu98LMjSoij5V,Bad Omens,spotify:artist:3Ri4H12KFyu98LMjSoij5V,4W01htReKHBEYIgm7GAAbN,Mercy,0,spotify:track:4W01htReKHBEYIgm7GAAbN,2023-11-27 T20:18:54Z
28,2LDhAV1ZRW6XdLNgg1pPg9,Versus Me,spotify:artist:2LDhAV1ZRW6XdLNgg1pPg9,4Jz4j8PzLTLqpdHCTPJU59,Heavy Breathing,19,spotify:track:4Jz4j8PzLTLqpdHCTPJU59,2023-11-27 T20:18:51Z
29,0TdhLJ5G2ICGuYTlNOeut3,Tomoya Ohtani,spotify:artist:0TdhLJ5G2ICGuYTlNOeut3,1e0Wd9PCkpYwOleEWmdzlh,Tropical Resort - Act1 (Sonic Colors),34,spotify:track:1e0Wd9PCkpYwOleEWmdzlh,2023-11-27 T20:18:44Z
30,0TdhLJ5G2ICGuYTlNOeut3,Tomoya Ohtani,spotify:artist:0TdhLJ5G2ICGuYTlNOeut3,049AxBo8sP0XGCuw1SpTMb,Aquarium Park - Act 3,5,spotify:track:049AxBo8sP0XGCuw1SpTMb,2023-11-27 T20:18:43Z
31,1Y73QxsnDJIhoyNZoB9B9L,Kenichi Tokoi,spotify:artist:1Y73QxsnDJIhoyNZoB9B9L,6sNVYpb4WBsTaQePmQgEld,Terminal Velocity - Act 1,5,spotify:track:6sNVYpb4WBsTaQePmQgEld,2023-11-27 T20:18:43Z
32,337xseYUhXr3BdVwLqUNNS,Jun Senoue (SEGA SOUND TEAM),spotify:artist:337xseYUhXr3BdVwLqUNNS,5CpnNqATeBUJHJTLIPtMnK,Cosmic Fall,27,spotify:track:5CpnNqATeBUJHJTLIPtMnK,2023-11-27 T20:18:42Z
33,337xseYUhXr3BdVwLqUNNS,Jun Senoue (SEGA SOUND TEAM),spotify:artist:337xseYUhXr3BdVwLqUNNS,568FW4ww2hQZfdvb5klx2J,Lethal Highway,28,spotify:track:568FW4ww2hQZfdvb5klx2J,2023-11-27 T20:18:41Z
34,337xseYUhXr3BdVwLqUNNS,Jun Senoue (SEGA SOUND TEAM),spotify:artist:337xseYUhXr3BdVwLqUNNS,5OxLvILoZJQcxpPbQldeYd,Prison Island,25,spotify:track:5OxLvILoZJQcxpPbQldeYd,2023-11-27 T20:18:41Z
35,337xseYUhXr3BdVwLqUNNS,Jun Senoue (SEGA SOUND TEAM),spotify:artist:337xseYUhXr3BdVwLqUNNS,5HpYlmzjc8AhAxtYymCObg,Digital Circuit,31,spotify:track:5HpYlmzjc8AhAxtYymCObg,2023-11-27 T20:18:40Z
36,337xseYUhXr3BdVwLqUNNS,Jun Senoue (SEGA SOUND TEAM),spotify:artist:337xseYUhXr3BdVwLqUNNS,1lDGiEb7QwUceRFixkkZST,Westopolis,31,spotify:track:1lDGiEb7QwUceRFixkkZST,2023-11-27 T20:18:39Z
37,1Y73QxsnDJIhoyNZoB9B9L,Kenichi Tokoi,spotify:artist:1Y73QxsnDJIhoyNZoB9B9L,4ySOvxlkxD5Ntr0FMEUHTV,Eggmanland - Day,1,spotify:track:4ySOvxlkxD5Ntr0FMEUHTV,2023-11-27 T20:18:38Z
38,0TdhLJ5G2ICGuYTlNOeut3,Tomoya Ohtani,spotify:artist:0TdhLJ5G2ICGuYTlNOeut3,4miYk6LdnIzzAwRyWjzrRt,Jungle Joyride - Day,1,spotify:track:4miYk6LdnIzzAwRyWjzrRt,2023-11-27 T20:18:37Z
39,2ElPRmtpvgv0xVWAO3U5RB,Fumie Kumatani,spotify:artist:2ElPRmtpvgv0xVWAO3U5RB,68ETs042kd7lP0zKs3rFlo,Skyscraper Scamper - Day,1,spotify:track:68ETs042kd7lP0zKs3rFlo,2023-11-27 T20:18:37Z
40,0TdhLJ5G2ICGuYTlNOeut3,Tomoya Ohtani,spotify:artist:0TdhLJ5G2ICGuYTlNOeut3,0ZKiPb1hW0P4KqKrSx40cu,Arid Sands - Day,1,spotify:track:0ZKiPb1hW0P4KqKrSx40cu,2023-11-27 T20:18:36Z
41,2ElPRmtpvgv0xVWAO3U5RB,Fumie Kumatani,spotify:artist:2ElPRmtpvgv0xVWAO3U5RB,4NA32fWdzTI8I55obVnTXj,Empire City - Night,1,spotify:track:4NA32fWdzTI8I55obVnTXj,2023-11-27 T20:18:36Z
42,0TdhLJ5G2ICGuYTlNOeut3,Tomoya Ohtani,spotify:artist:0TdhLJ5G2ICGuYTlNOeut3,2BjYK3sdkXVKjEwbeAN0jQ,Rooftop Run - Day,5,spotify:track:2BjYK3sdkXVKjEwbeAN0jQ,2023-11-27 T20:18:35Z
43,1Y73QxsnDJIhoyNZoB9B9L,Kenichi Tokoi,spotify:artist:1Y73QxsnDJIhoyNZoB9B9L,2PiT5WNo9SpxEfu30zuxGq,Dragon Road - Night,1,spotify:track:2PiT5WNo9SpxEfu30zuxGq,2023-11-27 T20:18:34Z
44,2ElPRmtpvgv0xVWAO3U5RB,Fumie Kumatani,spotify:artist:2ElPRmtpvgv0xVWAO3U5RB,6PcFLCcDro2nwmHxa8IHlj,Mazuri - Night,0,spotify:track:6PcFLCcDro2nwmHxa8IHlj,2023-11-27 T20:18:33Z
45,2ElPRmtpvgv0xVWAO3U5RB,Fumie Kumatani,spotify:artist:2ElPRmtpvgv0xVWAO3U5RB,0QuOvQVYJmmX0Q6cc9g46w,Windmill Isle - Night,2,spotify:track:0QuOvQVYJmmX0Q6cc9g46w,2023-11-27 T20:18:32Z
46,25oLRSUjJk4YHNUsQXk7Ut,GRiZ,spotify:artist:25oLRSUjJk4YHNUsQXk7Ut,7wRzUAw0Npu4CalkDIFHJE,Astro Funk,44,spotify:track:7wRzUAw0Npu4CalkDIFHJE,2023-11-27 T20:18:11Z
47,6Z8O8PugLuKyLFVkZLQDRZ,Midnight Tyrannosaurus,spotify:artist:6Z8O8PugLuKyLFVkZLQDRZ,5XYouohfUclYeRmXQSSvCk,Banana Planet,40,spotify:track:5XYouohfUclYeRmXQSSvCk,2023-11-27 T20:18:06Z
49,5y4xjNwy9GEFC4hic2epwe,JEANIE,spotify:artist:5y4xjNwy9GEFC4hic2epwe,0SQ1SZKzgY83yJR9QPz2J2,Hell Hole,0,spotify:track:0SQ1SZKzgY83yJR9QPz2J2,2023-11-27 T20:18:05Z
50,1ZwdS5xdxEREPySFridCfh,2Pac,spotify:artist:1ZwdS5xdxEREPySFridCfh,4AE7Lj39VnSZNOmGH2iZaq,Do For Love,77,spotify:track:4AE7Lj39VnSZNOmGH2iZaq,2023-11-27 T20:17:49Z
51,1Ffb6ejR6Fe5IamqA5oRUF,Bring Me The Horizon,spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF,68osIGtVjM7QWVe6pazLHj,Shadow Moses,72,spotify:track:68osIGtVjM7QWVe6pazLHj,2023-11-27 T20:17:42Z
53,6bWRCpJ69GQnmrL7gE4WHf,Automhate,spotify:artist:6bWRCpJ69GQnmrL7gE4WHf,76raPMbmlGiF2RR7gaaNco,SEMTEX - Automhate Remix,31,spotify:track:76raPMbmlGiF2RR7gaaNco,2023-11-27 T20:17:36Z
54,75YeSAKC6xPhgkjnltCmGB,HOL!,spotify:artist:75YeSAKC6xPhgkjnltCmGB,39bmhIQm1AumbEc6t6Kv99,ID - HOL! Remix,41,spotify:track:39bmhIQm1AumbEc6t6Kv99,2023-11-27 T20:17:35Z
55,4AoPvuN5X1A5xeCfZXRQY3,MVRDA,spotify:artist:4AoPvuN5X1A5xeCfZXRQY3,38WBSERaP7zGuk5kwYQVod,RIOOT,31,spotify:track:38WBSERaP7zGuk5kwYQVod,2023-11-27 T19:11:55Z
56,2u01kCKA5wDvvztuH8lyT0,SVDDEN DEATH,spotify:artist:2u01kCKA5wDvvztuH8lyT0,64uTfqJRxzLfkBlPxVYi4K,Harbinger,47,spotify:track:64uTfqJRxzLfkBlPxVYi4K,2023-11-27 T18:58:59Z
57,1YDZLsdFDJFxEVMAi9F3OA,Crowell,spotify:artist:1YDZLsdFDJFxEVMAi9F3OA,6UsIpjxPYqSZM65dL2k5DK,Yasuo,38,spotify:track:6UsIpjxPYqSZM65dL2k5DK,2023-11-27 T18:49:42Z
58,0663ucUX5KdVY18dEYe0KC,Shanghai Doom,spotify:artist:0663ucUX5KdVY18dEYe0KC,3ozMc765q0amlF6LgpsO1S,Coconuts,38,spotify:track:3ozMc765q0amlF6LgpsO1S,2023-11-27 T18:47:08Z
59,74ldOkcio7YXoirKWjlBd0,Izadi,spotify:artist:74ldOkcio7YXoirKWjlBd0,0zrqGU9QaIHEanM0RRzuPR,Third Eye Funk,35,spotify:track:0zrqGU9QaIHEanM0RRzuPR,2023-11-27 T18:27:00Z
60,1UnA09CtdmT16mvmzbXnON,Hostage Situation,spotify:artist:1UnA09CtdmT16mvmzbXnON,1qhcnq6J9H289OzmP7kfY5,Sound Spell,22,spotify:track:1qhcnq6J9H289OzmP7kfY5,2023-11-27 T18:24:27Z
62,1UnA09CtdmT16mvmzbXnON,Hostage Situation,spotify:artist:1UnA09CtdmT16mvmzbXnON,1u85ETRkWwjvCpHp1xVsmE,Crossed,26,spotify:track:1u85ETRkWwjvCpHp1xVsmE,2023-11-27 T18:24:10Z
63,1UnA09CtdmT16mvmzbXnON,Hostage Situation,spotify:artist:1UnA09CtdmT16mvmzbXnON,4n8vHzECL46ct56E1fNpp3,DO U?,32,spotify:track:4n8vHzECL46ct56E1fNpp3,2023-11-27 T18:22:39Z
64,5fa37Ivp1VOQpMJQZyDDrl,VUlllGUR,spotify:artist:5fa37Ivp1VOQpMJQZyDDrl,0GjZdyJkTlxlF1kyafsjzw,DISEMBOWELED,31,spotify:track:0GjZdyJkTlxlF1kyafsjzw,2023-11-27 T18:19:45Z
65,6zzwsRuoaNV98DzIekp59M,Votabias,spotify:artist:6zzwsRuoaNV98DzIekp59M,5YOZ8dmRoBvdmtWcm74xKK,Nostalgia,54,spotify:track:5YOZ8dmRoBvdmtWcm74xKK,2023-11-27 T14:30:41Z
66,3TFrAhV5T8qgFOhpaQlUHG,Wodd,spotify:artist:3TFrAhV5T8qgFOhpaQlUHG,3oj9au6Mx5KoIuSSjXRucP,Riddim Tale,41,spotify:track:3oj9au6Mx5KoIuSSjXRucP,2023-11-22 T22:54:09Z
68,5POUA3KoQ9Y20hzBuikqim,SHIVERZ,spotify:artist:5POUA3KoQ9Y20hzBuikqim,4vUP3RvK7Sk0RpGvHsLYLr,KNOCKOUT,44,spotify:track:4vUP3RvK7Sk0RpGvHsLYLr,2023-11-22 T22:53:31Z
69,3NJ94iuAmmMjbszODYT6pO,Subtronics,spotify:artist:3NJ94iuAmmMjbszODYT6pO,3Uadv5DQG3qXZ1jFYIQBVT,Omnidirectional,57,spotify:track:3Uadv5DQG3qXZ1jFYIQBVT,2023-11-22 T22:53:02Z
71,3YLUvWzk9eBm1WrHFlZxM4,MARAUDA,spotify:artist:3YLUvWzk9eBm1WrHFlZxM4,49IcXNGob9bCdmTsA46onT,PEANUT BUTTER,52,spotify:track:49IcXNGob9bCdmTsA46onT,2023-11-22 T22:52:02Z
74,5LxbXRVEMOw6i1WSa2YQn1,Zingara,spotify:artist:5LxbXRVEMOw6i1WSa2YQn1,0NRLMH71CGQwhdMnu6INmo,R.A.V.E - Zingara Remix,36,spotify:track:0NRLMH71CGQwhdMnu6INmo,2023-11-22 T22:48:28Z
75,1vOTVnnyLvVTeuwrZLghCN,Cyclops,spotify:artist:1vOTVnnyLvVTeuwrZLghCN,724wNCVDm1wqKoOdlktFFN,Tear Jerker,35,spotify:track:724wNCVDm1wqKoOdlktFFN,2023-11-22 T22:47:48Z
77,07CimrZi5vs9iEao47TNQ4,Flowdan,spotify:artist:07CimrZi5vs9iEao47TNQ4,2aoWvGMW6W40WelevwsOUx,Shella Verse,62,spotify:track:2aoWvGMW6W40WelevwsOUx,2023-10-11 T21:48:44Z
