,Playlist ID,Playlist Name,Link,Owner,Owner Type,Track Count,Object Type,Object Type ,Album Id ,Album Name ,Album Release Date ,Album Artist Id ,Album Artist Name ,Album Object Type ,Album Total Tracks ,Other Object Type ,Album Uri ,Song Number In Album ,Song Id ,Song Name ,Song Popularity ,Song Type ,Song Duration ,Song Explicit ,Song Uri 
0,0gE6UniMJk9L3ds2aLRIw6,High-Knees Deez,https://api.spotify.com/v1/playlists/0gE6UniMJk9L3ds2aLRIw6,WetCofnMout,user,43,playlist,single,0tDknUXGhQ2i5dOZUU7VPz,Legalize Nuclear Bombs,9/15/2023,1vOTVnnyLvVTeuwrZLghCN,Cyclops,artist,1,album,spotify:album:0tDknUXGhQ2i5dOZUU7VPz,1,5Tp9Ojtfm0VX7vR3u8oHwv,Legalize Nuclear Bombs,39,track,168,FALSE,spotify:track:5Tp9Ojtfm0VX7vR3u8oHwv
1,0gE6UniMJk9L3ds2aLRIw6,High-Knees Deez,https://api.spotify.com/v1/playlists/0gE6UniMJk9L3ds2aLRIw6,WetCofnMout,user,43,playlist,single,3Uj70tSrRRTqRPLFj2gkgV,Swamp,8/12/2022,3mEgLhTVxuUG4n1ezLNY5l,Izzy Vadim,artist,2,album,spotify:album:3Uj70tSrRRTqRPLFj2gkgV,1,43djyGEvUsYRphVLkWk6kL,Hello,32,track,205,FALSE,spotify:track:43djyGEvUsYRphVLkWk6kL
2,0gE6UniMJk9L3ds2aLRIw6,High-Knees Deez,https://api.spotify.com/v1/playlists/0gE6UniMJk9L3ds2aLRIw6,WetCofnMout,user,43,playlist,single,0UQcFwyo19uhWmYGzmzwpr,Get Fucked (VIP),3/22/2022,6AzehpPyhn3Qrwg6pQfPXz,OG Nixin,artist,1,album,spotify:album:0UQcFwyo19uhWmYGzmzwpr,1,5t29oW2PQgqdbQS7bPUv1n,Get Fucked - VIP,20,track,198,FALSE,spotify:track:5t29oW2PQgqdbQS7bPUv1n
3,0gE6UniMJk9L3ds2aLRIw6,High-Knees Deez,https://api.spotify.com/v1/playlists/0gE6UniMJk9L3ds2aLRIw6,WetCofnMout,user,43,playlist,single,7ejutZeXhnGoiNpDNQuEbB,TONAL RIDDIM,10/22/2020,6bWRCpJ69GQnmrL7gE4WHf,Automhate,artist,1,album,spotify:album:7ejutZeXhnGoiNpDNQuEbB,1,5Nx8FLleglNFmrqiRcil4n,Tonal Riddim,28,track,152,FALSE,spotify:track:5Nx8FLleglNFmrqiRcil4n
4,0gE6UniMJk9L3ds2aLRIw6,High-Knees Deez,https://api.spotify.com/v1/playlists/0gE6UniMJk9L3ds2aLRIw6,WetCofnMout,user,43,playlist,single,2YM4n8ZHYUsL3ulf3LmzGY,Fuck Em,10/31/2020,6AzehpPyhn3Qrwg6pQfPXz,OG Nixin,artist,1,album,spotify:album:2YM4n8ZHYUsL3ulf3LmzGY,1,17uUjj1WqbXxbCt6nZ2ixa,Fuck Em,35,track,225,TRUE,spotify:track:17uUjj1WqbXxbCt6nZ2ixa
5,0gE6UniMJk9L3ds2aLRIw6,High-Knees Deez,https://api.spotify.com/v1/playlists/0gE6UniMJk9L3ds2aLRIw6,WetCofnMout,user,43,playlist,single,3muJGO5mvLkvI3CcfnoD1Y,Riddim 4 Dummies EP,11/23/2018,3sS9RKjrDJMl7zpG3cWHk7,Aweminus,artist,4,album,spotify:album:3muJGO5mvLkvI3CcfnoD1Y,4,0BhMKpbbc4o8XTMVaubVJ8,Riddim 4 Dummies,28,track,290,FALSE,spotify:track:0BhMKpbbc4o8XTMVaubVJ8
6,0gE6UniMJk9L3ds2aLRIw6,High-Knees Deez,https://api.spotify.com/v1/playlists/0gE6UniMJk9L3ds2aLRIw6,WetCofnMout,user,43,playlist,single,5ynWIxGk6ul2xTGdZqr6eo,Jagerwomb,12/6/2019,0d2Zm0ihevS0LpoEygNtU8,Cybertr0n,artist,1,album,spotify:album:5ynWIxGk6ul2xTGdZqr6eo,1,5OoG7nELzTflB1uYOEE9XE,Jagerwomb,33,track,301,FALSE,spotify:track:5OoG7nELzTflB1uYOEE9XE
7,0gE6UniMJk9L3ds2aLRIw6,High-Knees Deez,https://api.spotify.com/v1/playlists/0gE6UniMJk9L3ds2aLRIw6,WetCofnMout,user,43,playlist,single,7GQ4GuCSBiB2xEjdqQxuoz,Memory Lapse,4/28/2023,23AH13eC6V0NB0QCkV6206,Jkyl & Hyde,artist,1,album,spotify:album:7GQ4GuCSBiB2xEjdqQxuoz,1,7Jnskfzi7Kk6ikzeibqcF7,Memory Lapse,30,track,214,TRUE,spotify:track:7Jnskfzi7Kk6ikzeibqcF7
8,0gE6UniMJk9L3ds2aLRIw6,High-Knees Deez,https://api.spotify.com/v1/playlists/0gE6UniMJk9L3ds2aLRIw6,WetCofnMout,user,43,playlist,compilation,7dWE68w6t5cOavURvKYDGx,Subsidia Dusk: Vol. 6,3/2/2022,5FKchcZpQOkqFvXBj1aCvb,Excision,artist,14,album,spotify:album:7dWE68w6t5cOavURvKYDGx,1,0JcNI8kSDOPCIqpAsKF9xX,Resonate,23,track,182,FALSE,spotify:track:0JcNI8kSDOPCIqpAsKF9xX
9,0gE6UniMJk9L3ds2aLRIw6,High-Knees Deez,https://api.spotify.com/v1/playlists/0gE6UniMJk9L3ds2aLRIw6,WetCofnMout,user,43,playlist,single,1HxmncnzZCfzW7PeRwrAyV,Chemist's Curse,10/26/2022,23AH13eC6V0NB0QCkV6206,Jkyl & Hyde,artist,1,album,spotify:album:1HxmncnzZCfzW7PeRwrAyV,1,1p4pPh66FlwRtANOgN7zP3,Chemist's Curse,28,track,215,FALSE,spotify:track:1p4pPh66FlwRtANOgN7zP3
